Activity Type,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Date
Treadmill Running,Bieg na bieżni,1.86,121,18:41:13,122,131,1.0,151,186,00:07:44,5:50,--,--,0.85,02:50.51,2,00:13:32,00:14:25,--,--,2022-06-20
Running,Warszawa Bieganie,1.18,72,20:35:15,143,165,2.0,148,177,00:05:15,4:05,20,12,1.29,01:15.26,2,00:05:54,00:09:30.8,86,105,2022-05-16
Running,Warszawa Bieganie,6.71,435,18:35:14,149,162,3.1,164,219,00:05:17,4:02,61,63,1.15,03:35.34,7,00:35:12,00:39:36,77,93,2022-05-04
Running,Mikołajki Bieganie,1.51,102,09:13:47,139,160,1.4,156,180,00:06:27,4:19,16,22,0.99,03:30.63,2,00:09:36,00:09:43.2,122,136,2022-05-01
Running,Giżycko (Gmina) Bieganie,1.85,33,12:36:30,73,81,0.0,--,--,00:08:52,--,--,--,0.0,00:00.78,6,00:00:00,00:16:28,115,115,2022-04-30
Running,Izabelin Bieganie,6.32,390,11:17:02,145,161,2.8,163,174,00:05:16,4:09,56,54,1.17,01:35.59,7,00:32:51,00:35:00,85,108,2022-04-18
Running,Izabelin Bieganie,2.17,134,16:47:43,116,137,0.9,143,172,00:07:50,4:25,17,19,0.89,01:02.42,3,00:16:20,00:16:58,99,108,2022-04-16
Running,Gdańsk Bieganie,42.33,"2,720",09:00:41,171,186,5.0,173,183,00:04:35,3:38,228,228,1.26,01:45.91,43,03:13:12,03:13:48,-7,28,2022-04-10
Running,Rzewnie Bieganie,9.03,585,12:03:58,161,172,3.8,169,181,00:04:39,4:04,91,84,1.27,00:09.90,10,00:41:54,00:42:18,83,103,2022-04-03
Running,Lublin Bieganie,7.49,459,12:19:59,158,193,3.9,172,197,00:04:06,2:18,90,89,1.42,01:48.36,8,00:30:41,00:30:45,180,200,2022-03-26
Running,Warszawa Bieganie,2.62,176,19:35:18,147,164,2.5,165,233,00:05:01,3:58,13,8,1.21,03:15.57,3,00:12:59,00:15:11,81,90,2022-03-22
Running,Warszawa Bieganie,4.85,278,18:47:17,144,167,3.0,170,190,00:04:12,3:25,4,4,1.4,01:32.51,9,00:20:02,00:26:58,83,86,2022-03-22
Running,Warszawa Bieganie,2.95,174,18:18:04,139,159,2.1,165,189,00:04:50,4:12,15,19,1.26,04:42.92,3,00:14:13,00:15:48,76,87,2022-03-22
Running,Warszawa Bieganie,20.29,"1,187",13:48:09,148,163,4.0,170,187,00:04:34,3:25,136,133,1.28,01:33.69,21,01:32:02,01:58:56,70,94,2022-03-20
Running,Warszawa Bieganie,8.01,482,21:14:38,150,167,3.2,167,213,00:04:44,4:02,458,247,1.27,00:01.51,9,00:37:21,00:41:21,-121,123,2022-03-17
Running,Warszawa Bieganie,13.02,766,18:53:03,156,174,3.8,168,192,00:04:25,3:09,123,125,1.34,00:46.74,20,00:56:53,01:07:08,74,136,2022-03-15
Running,Warszawa Bieganie,7.76,475,16:22:32,159,174,3.5,169,181,00:04:33,3:31,79,114,1.3,03:39.67,8,00:34:52,00:38:29,77,124,2022-03-13
