Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-12-21 18:33:53,false,"Lund Running","8.23","661","00:45:31","136","149","3.1","161","171","5:32","4:51","34","33","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:15.28","9","0.0","00:45:17","00:50:12","24","56"
Running,2022-12-18 22:48:38,false,"Lund - 6x1km Cruise intervals","12.03","965","00:54:38","159","179","4.7","168","182","4:32","3:44","34","36","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:11.51","18","0.0","00:54:24","00:55:35","23","39"
Running,2022-12-17 10:00:08,false,"Lund Running","10.12","824","00:50:44","147","167","3.9","167","178","5:01","4:13","40","42","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:37.20","11","0.0","00:50:28","00:52:55","8","38"
Running,2022-12-13 22:33:55,false,"Lund Running","14.42","1,164","01:09:56","154","171","4.4","165","186","4:51","4:11","54","42","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:06.22","15","0.0","01:09:41","01:19:39","30","59"
Running,2022-12-07 00:06:25,false,"Lund Running","22.09","1,786","01:44:44","155","171","5.0","168","192","4:44","3:50","94","95","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:38.41","23","0.0","01:44:24","01:49:49","30","85"
Treadmill Running,2022-12-03 21:36:30,false,"Treadmill Running","10.20","789","00:50:04","141","151","3.4","169","190","4:55","3:46","--","--","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:52.24","7","0.0","00:50:00","01:01:40","--","--"
Running,2022-12-01 22:15:57,false,"Lund - 6x1km Cruise intervals","12.77","1,040","00:58:18","160","185","5.0","166","183","4:34","3:41","34","36","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.51","21","0.0","00:57:46","00:59:20","26","38"
Treadmill Running,2022-11-29 17:14:47,false,"Treadmill Running","1.77","129","00:09:24.4","125","140","1.6","156","228","5:18","4:06","--","--","1.21","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:01.63","2","0.0","00:09:02","00:09:48.5","--","--"
Running,2022-11-27 12:14:53,false,"Lund Running","21.97","1,812","01:45:07","155","174","5.0","169","210","4:47","4:06","84","82","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:22.48","22","0.0","01:44:41","01:57:43","-1","48"
Treadmill Running,2022-11-26 21:51:14,false,"Treadmill Running","3.11","273","00:15:12","152","179","3.2","166","175","4:53","4:05","--","--","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:15.93","2","0.0","00:15:12","00:15:12","--","--"
Treadmill Running,2022-11-23 18:54:34,false,"Treadmill Running","7.08","526","00:35:17","134","150","3.2","163","177","4:59","3:17","--","--","1.23","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:15.97","5","0.0","00:34:28","00:37:03","--","--"
Treadmill Running,2022-11-22 20:31:04,false,"Treadmill Running","9.09","708","00:45:04","140","165","3.9","164","175","4:57","4:21","--","--","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14.06","6","0.0","00:44:24","00:45:04","--","--"
Running,2022-11-18 21:23:44,false,"Lund - Fartlek Run 12xtimes","10.06","847","00:47:35","158","175","4.6","165","184","4:44","3:36","28","26","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:00.00","30","0.0","00:47:18","00:47:55","26","38"
Running,2022-11-16 20:12:44,false,"Lund Running","10.40","880","00:53:19","148","174","4.2","164","179","5:08","3:58","38","44","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.27","12","0.0","00:53:10","00:55:42","8","43"
Running,2022-11-15 18:16:13,false,"Lund Running","7.24","590","00:41:44","131","145","2.9","160","171","5:46","3:57","47","40","1.09","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:29.11","9","0.0","00:41:27","00:45:37","29","64"
Running,2022-11-13 11:14:59,false,"Lund Running","16.79","1,460","01:23:38","157","173","5.0","165","181","4:59","4:15","75","77","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:22.48","11","0.0","01:22:47","01:27:48","7","42"
